ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1350790,MapQuest,201.0,2,2018-02-27 06:28:12,2018-02-27 06:57:47,43.161491,-77.607529,,,0.0,Accident on Joseph Ave at Cumberland St.,,Inner Loop,R,Rochester,Monroe,NY,14605,US,US/Eastern,KROC,2018-02-27 06:54:00,32.0,25.6,66.0,30.34,10.0,SW,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-2208801,Bing,,4,2017-10-04 07:58:52,2017-10-04 13:58:52,29.5615,-95.68908,29.5773,-95.65347,2.4019999999999997,Closed at Brazos River Turnaround - Road closed due to accident.,,US-59 N,R,Sugar Land,Fort Bend,TX,77479,US,US/Central,KSGR,2017-10-04 07:53:00,75.9,,82.0,30.18,10.0,NE,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-888869,MapQuest,201.0,2,2018-09-10 10:31:38,2018-09-10 11:01:23,41.774433,-87.946579,,,0.0,Accident on 63rd St at IL-83 Kingery Hwy.,,63rd St,R,Willowbrook,DuPage,IL,60527,US,US/Central,KMDW,2018-09-10 10:53:00,71.1,,61.0,30.01,10.0,NNE,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1982890,Bing,,2,2019-02-04 06:15:44,2019-02-04 06:45:26,34.0248,-117.75112,34.02225,-117.74837,0.23600000000000002,At CA-60/Pomona Fwy - Accident. Right lane blocked.,,Chino Valley Fwy S,R,Pomona,Los Angeles,CA,91766,US,US/Pacific,KPOC,2019-02-04 07:47:00,48.2,,100.0,29.87,6.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-298867,MapQuest,245.0,3,2016-09-05 08:02:48,2016-09-05 08:32:48,29.784798,-95.62252,,,0.0,Two lanes blocked and right hand shoulder blocked due to accident on I-10 Eastbound at Park Row.,,Katy Tollway,R,Houston,Harris,TX,77079,US,US/Central,KSGR,2016-09-05 07:53:00,79.0,,90.0,30.04,10.0,SE,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-412691,MapQuest,201.0,2,2017-05-01 14:35:57,2017-05-01 15:20:41,26.617519,-80.173645,,,0.01,Accident on FL-91 Southbound after Exit 93 FL-802 Lake Worth Rd.,,Ronald Reagan Tpke,R,Lake Worth,Palm Beach,FL,33467,US,US/Eastern,KPBI,2017-05-01 14:32:00,82.9,,63.0,30.08,10.0,SE,17.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2006980,Bing,,3,2019-01-17 06:13:26,2019-01-17 06:42:44,38.991005,-77.42536,38.98959,-77.42943000000001,0.239,At VA-28/Sully Rd - Accident. Lane blocked.,1641.0, S Sterling Blvd,R,Sterling,Loudoun,VA,20164,US,US/Eastern,KIAD,2019-01-17 05:52:00,32.0,28.7,73.0,30.32,10.0,NNW,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-798085,MapQuest,201.0,3,2018-11-27 05:59:12,2018-11-27 06:28:55,45.572975,-123.03588899999998,,,0.0,Accident on Zion Church Rd at Susbauer Rd.,6698.0,NW Susbauer Rd,L,Cornelius,Washington,OR,97113-6335,US,US/Pacific,KHIO,2018-11-27 06:01:00,53.1,,96.0,29.71,8.0,South,5.8,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-157106,MapQuest,201.0,3,2016-08-31 15:08:54,2016-08-31 15:38:54,33.759879999999995,-84.379005,,,0.0,Accident on I-85 I-75 Northbound at Exits 248C 248D Ellis St.,,I-75 N,R,Atlanta,Fulton,GA,30312,US,US/Eastern,KATL,2016-08-31 14:52:00,90.0,,42.0,29.91,10.0,East,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2231236,Bing,,3,2017-08-01 16:11:34,2017-08-01 22:11:34,41.86375,-88.1948,41.86375,-88.1948,0.0,At IL-38/Roosevelt Rd - Accident.,1304.0, S Neltnor Blvd,R,West Chicago,Dupage,IL,60185-3935,US,US/Central,KDPA,2017-08-01 15:52:00,82.9,,51.0,30.01,9.0,South,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-848536,MapQuest,201.0,2,2018-10-22 06:05:44,2018-10-22 06:35:27,39.631763,-82.83609799999999,,,0.0,Accident on OH-674 Winchester Southern Rd at US-22.,9999.0,US Highway 22 E,R,Stoutsville,Pickaway,OH,43154-9628,US,US/Eastern,KLHQ,2018-10-22 05:53:00,28.9,25.2,96.0,30.23,10.0,SSE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1207818,MapQuest,201.0,2,2018-04-18 11:50:26,2018-04-18 12:20:10,33.577644,-79.02879300000001,,,0.0,Accident on US-17 near Tadlock Dr.,,Highway 17 Byp,R,Murrells Inlet,Horry,SC,29576,US,US/Eastern,KMYR,2018-04-18 11:56:00,77.0,,37.0,29.98,10.0,West,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1644432,MapQuest,201.0,3,2017-09-25 08:31:15,2017-09-25 09:00:14,40.754135,-73.89852900000001,,,0.0,Accident on I-278 Brooklyn Queens Expy Westbound at NY-25A Northern Blvd.,,Brooklyn Queens Expy,R,Woodside,Queens,NY,11377,US,US/Eastern,KLGA,2017-09-25 08:51:00,75.9,,71.0,30.07,10.0,NE,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-992251,MapQuest,201.0,3,2018-08-30 10:53:46,2018-08-30 11:23:32,35.311943,-80.75846899999999,,,0.0,Accident on I-85 Southbound at NC-24 W.T. Harris Blvd.,,W W.T. Harris Blvd,R,Charlotte,Mecklenburg,NC,28262,US,US/Eastern,KJQF,2018-08-30 10:50:00,87.8,,58.0,30.18,10.0,WNW,4.6,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-407832,MapQuest,201.0,3,2017-04-29 14:00:21,2017-04-29 14:44:40,33.802834000000004,-118.12519099999999,,,0.01,Accident on I-405 Southbound at Bellflower Blvd. On the right.,,N Bellflower Blvd,R,Long Beach,Los Angeles,CA,90815,US,US/Pacific,KLGB,2017-04-29 13:53:00,84.0,,4.0,29.98,10.0,West,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1121409,MapQuest,201.0,2,2018-05-07 08:15:17,2018-05-07 08:45:03,35.206078000000005,-80.922157,,,0.0,Accident on Billy Graham Pkwy at NC-160 West Blvd.,3198.0,Billy Graham Pkwy,L,Charlotte,Mecklenburg,NC,28208,US,US/Eastern,KCLT,2018-05-07 07:52:00,57.9,,84.0,30.02,10.0,North,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1728839,Bing,,2,2016-04-06 08:21:07,2016-04-06 14:21:07,38.12314,-122.2732,38.122339000000004,-122.275282,0.126,At Wilson Ave - Accident. Right lane blocked.,,Sears Point Rd,R,Vallejo,Solano,CA,94589,US,US/Pacific,KAPC,2016-04-06 07:54:00,52.0,,86.0,30.12,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1818768,Bing,,2,2016-07-11 14:57:39,2016-07-11 20:57:39,41.90462,-88.01769,41.90462,-88.01769,0.0,At Main St - Accident.,,W North Ave,R,Lombard,DuPage,IL,60148,US,US/Central,KORD,2016-07-11 14:51:00,88.0,,53.0,29.91,10.0,South,18.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-757713,MapQuest,201.0,2,2018-11-08 13:07:38,2018-11-08 13:37:19,30.225635999999998,-97.731697,,,0.0,Accident on Ware Rd at Benjamin St.,2501.0,Ware Rd,L,Austin,Travis,TX,78741-5726,US,US/Central,KAUS,2018-11-08 12:53:00,61.0,,90.0,30.0,6.0,NNE,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-673490,MapQuest,201.0,3,2019-01-25 06:47:15,2019-01-25 07:16:32,42.520031,-70.994843,,,0.870000004768,Accident on entry ramp to 128 Southbound from Newbury St Northbound.,,I-95 S,R,Peabody,Essex,MA,01960,US,US/Eastern,KBVY,2019-01-25 06:53:00,28.9,21.9,67.0,29.8,10.0,SW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1711636,MapQuest,201.0,3,2017-08-23 19:12:53,2017-08-23 19:42:09,29.716459000000004,-95.499268,,,0.0,Left hand shoulder blocked and left and center lane blocked due to accident on I-69 Southbound at Southwest Fwy.,,US-59 N,R,Houston,Harris,TX,77074,US,US/Central,KMCJ,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-403460,MapQuest,201.0,2,2017-04-11 11:15:59,2017-04-11 11:45:42,34.439102,-119.76834099999999,,,0.0,Accident on Modoc Rd at Encore Dr.,4344.0,Modoc Rd,R,Santa Barbara,Santa Barbara,CA,93110-1832,US,US/Pacific,KSBA,2017-04-11 10:53:00,59.0,,87.0,30.03,10.0,South,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1195957,MapQuest,201.0,3,2018-04-12 19:43:58,2018-04-12 20:13:43,44.999039,-93.282684,,,0.0,Accident on I-94 Eastbound at Exits 229 230 County Hwy-152 Washington Ave.,,W Broadway Ave,R,Minneapolis,Hennepin,MN,55411,US,US/Central,KMIC,2018-04-12 19:53:00,44.1,40.1,63.0,29.79,10.0,East,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-965975,MapQuest,201.0,3,2018-08-16 05:47:06,2018-08-16 06:16:47,32.904449,-117.2239,,,0.0,Accident on I-805 Northbound at I-5.,,I-805 N,R,San Diego,San Diego,CA,92121,US,US/Pacific,KNKX,2018-08-16 05:55:00,73.0,,73.0,29.97,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1178677,MapQuest,201.0,2,2018-04-04 17:11:31,2018-04-04 17:41:16,35.768097,-78.568588,,,0.0,Accident on Poole Rd at Carya Dr.,4062.0,Poole Rd,R,Raleigh,Wake,NC,27610-2923,US,US/Eastern,KRDU,2018-04-04 16:51:00,64.9,,26.0,29.8,10.0,NW,10.4,,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-850656,MapQuest,241.0,3,2018-10-22 12:00:18,2018-10-22 12:29:55,34.122634999999995,-118.478424,,,0.0,#1 lane blocked due to accident on I-405 Southbound at Exit 61 Skirball Center Dr.,,Skirball Center Dr,R,Los Angeles,Los Angeles,CA,90077,US,US/Pacific,KSMO,2018-10-22 11:51:00,72.0,,61.0,29.91,7.0,SSW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1575053,MapQuest,201.0,3,2017-10-22 15:56:57,2017-10-22 16:25:45,42.973335,-123.33634199999999,,,0.0,Accident on I-5 Northbound at Exit 103 OR-99.,,Pruner Rd,R,Myrtle Creek,Douglas,OR,97457,US,US/Pacific,KRBG,2017-10-22 15:53:00,61.0,,83.0,30.39,10.0,Calm,,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1571683,MapQuest,201.0,2,2017-10-20 09:55:18,2017-10-20 10:25:08,40.765125,-73.174164,,,0.0,Accident on Lowell Ave near Oceanside St.,312.0,Oceanside St,L,Islip Terrace,Suffolk,NY,11752-1413,US,US/Eastern,KISP,2017-10-20 09:56:00,64.9,,50.0,30.15,10.0,NW,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1398914,MapQuest,201.0,2,2018-01-24 12:25:20,2018-01-24 12:54:55,35.493336,-97.578758,,,0.0,Accident on 23rd St Northbound at I-44.,,NW 23rd St,R,Oklahoma City,Oklahoma,OK,73107,US,US/Central,KPWA,2018-01-24 12:53:00,55.0,,31.0,30.42,10.0,SSW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-968362,MapQuest,201.0,2,2018-08-17 14:30:26,2018-08-17 15:00:03,37.604755,-122.19589199999999,,,0.0,#1 lane blocked due to accident on CA-92 Eastbound on San Mateo Bridge.,,J Arthur Younger Fwy W,R,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2018-08-17 14:54:00,78.1,,50.0,30.06,9.0,West,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1511708,MapQuest,201.0,2,2017-11-21 13:08:36,2017-11-21 14:23:19,41.51339,-72.829773,,,0.0,Accident on Evansville Ave at Hanover St.,203.0,Evansville Ave,R,Meriden,New Haven,CT,06451-5155,US,US/Eastern,KMMK,2017-11-21 12:53:00,55.9,,42.0,30.03,10.0,South,16.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2229765,Bing,,2,2017-09-28 18:07:44,2017-09-29 00:07:44,33.995740000000005,-117.87459,33.99426,-117.89396,1.114,Between Fairway Dr and Nogales St - Accident.,,Pomona Fwy W,R,Rowland Heights,Los Angeles,CA,91748,US,US/Pacific,KFUL,2017-09-28 17:53:00,82.9,,36.0,29.81,10.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1868939,Bing,,2,2016-07-19 18:21:49,2016-07-20 00:21:49,47.5348,-122.19608000000001,47.52942,-122.19791000000001,0.381,At 44th St/Exit 7 - Accident. in the right lane.,,I-405 N,R,Renton,King,WA,98056,US,US/Pacific,KRNT,2016-07-19 17:53:00,75.9,,43.0,30.07,10.0,SW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1162278,MapQuest,201.0,2,2018-05-25 20:29:00,2018-05-25 21:28:39,33.687111,-80.056656,,,0.0,Accident on Brewington Rd near SC-261 Kingstree Hwy.,7237.0,Kingstree Hwy,R,Greeleyville,Clarendon,SC,29056,US,US/Eastern,KCKI,2018-05-25 20:35:00,75.2,,89.0,30.01,10.0,SSE,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1587481,MapQuest,201.0,2,2017-10-27 06:56:11,2017-10-27 07:26:03,44.932697,-123.142052,,,0.0,Accident on OR-22 Salem Dallas Hwy at OR-51 Independence Hwy.,,Independence Hwy,R,Salem,Polk,OR,97304,US,US/Pacific,KSLE,2017-10-27 06:56:00,46.0,,83.0,30.09,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1577619,MapQuest,201.0,2,2017-10-23 07:07:19,2017-10-23 07:51:59,43.606087,-122.04848500000001,,,0.0,Accident on OR-58 near NFD Road 500.,48795.0,Highway 58,R,Oakridge,Lane,OR,97463-9663,US,US/Pacific,KEUG,2017-10-23 06:54:00,48.9,,100.0,30.56,0.8,Calm,,,Mist,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1343063,MapQuest,201.0,2,2018-02-22 21:54:22,2018-02-22 22:24:13,29.553457,-95.15396899999999,,,0.0,Accident on El Dorado Blvd at Gulf Fwy.,,El Dorado Blvd,R,Webster,Harris,TX,77598,US,US/Central,KEFD,2018-02-22 22:50:00,71.6,,94.0,30.21,7.0,South,10.4,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-383454,MapQuest,201.0,3,2017-03-25 13:11:04,2017-03-25 13:40:32,39.484238,-76.25153399999999,,,0.01,Right hand shoulder blocked due to accident on I-95 Southbound at Exit 80 MD-543 Riverside Pkwy.,,John F Kennedy Memorial Hwy S,R,Bel Air,Harford,MD,21015,US,US/Eastern,KAPG,2017-03-25 12:58:00,73.0,,46.0,30.17,10.0,West,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-436731,MapQuest,201.0,2,2017-05-08 11:46:29,2017-05-08 12:15:54,37.381865999999995,-121.963829,,,0.01,Right lane blocked due to accident on US-101 Northbound before County Hwy-G4 San Tomas Expy.,,Bayshore Fwy S,R,Santa Clara,Santa Clara,CA,95054,US,US/Pacific,KSJC,2017-05-08 11:53:00,73.0,,35.0,29.93,10.0,Calm,,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1279087,MapQuest,201.0,2,2018-03-23 06:51:39,2018-03-23 07:21:19,40.442772,-79.961998,,,0.0,Restrictions due to accident on Terrace St at Sutherland Dr.,3600.0,Terrace St,R,Pittsburgh,Allegheny,PA,15213,US,US/Eastern,KAGC,2018-03-23 06:53:00,25.0,16.3,66.0,30.24,10.0,West,8.1,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-69646,MapQuest,201.0,3,2016-11-05 14:23:59,2016-11-05 15:08:59,33.890965,-118.285835,,,0.01,Accident on I-110 Southbound at Exit 11 Redondo Beach Blvd.,,I-110 S,R,Gardena,Los Angeles,CA,90247,US,US/Pacific,KHHR,2016-11-05 14:53:00,75.9,,45.0,29.97,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1094546,MapQuest,201.0,3,2018-06-25 07:53:20,2018-06-25 08:23:05,43.080878999999996,-76.221313,,,0.0,Left lane closed due to accident on I-690 Eastbound before Exits 6 7 NY-695.,,I-690 E,R,Syracuse,Onondaga,NY,13209,US,US/Eastern,KSYR,2018-06-25 07:54:00,61.0,,87.0,30.07,10.0,WNW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1242261,MapQuest,244.0,2,2018-03-05 07:53:05,2018-03-05 08:23:00,33.45929,-111.995117,,,0.0,Shoulder blocked due to accident on AZ-202 Loop Westbound at Exit 2 Red Mountain Fwy.,,N 40th St,R,Phoenix,Maricopa,AZ,85008,US,US/Mountain,KPHX,2018-03-05 07:51:00,48.9,,44.0,30.1,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-430847,MapQuest,201.0,2,2017-04-13 18:35:08,2017-04-13 19:05:08,30.644790999999998,-96.31349200000001,,,0.01,Accident on TX-6 Northbound at Earl Rudder Fwy.,,TX-6 N,R,Bryan,Brazos,TX,77802,US,US/Central,KCFD,2017-04-13 18:35:00,78.1,,48.0,30.09,10.0,SE,12.7,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-277897,MapQuest,241.0,3,2016-11-09 18:38:36,2016-11-09 19:08:14,32.614017,-97.321556,,,0.01,#1 lane blocked queueing traffic and left hand shoulder blocked due to accident on I-35W Southbound at Exit 41 Risinger Rd.,,I-35W N,R,Fort Worth,Tarrant,TX,76140,US,US/Central,KFWS,2016-11-09 18:46:00,62.6,,82.0,30.32,7.0,North,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1004256,MapQuest,201.0,2,2018-07-06 13:24:25,2018-07-06 13:54:09,35.045364,-81.96884200000001,,,0.0,Accident on Old Furnace Rd at Blalock Rd.,2293.0,Old Furnace Rd,R,Boiling Springs,Spartanburg,SC,29316-5784,US,US/Eastern,KSPA,2018-07-06 13:15:00,87.8,,52.0,30.16,10.0,WSW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1754578,Bing,,2,2016-08-25 13:53:52,2016-08-25 19:53:52,32.7582,-96.80943,32.758842,-96.809086,0.049,At Colorado Blvd/Exit 427 - Accident.,,US-77 N,R,Dallas,Dallas,TX,75203,US,US/Central,KRBD,2016-08-25 13:53:00,91.9,,48.0,30.03,10.0,Variable,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-334356,MapQuest,201.0,2,2017-02-07 10:17:51,2017-02-07 10:47:31,30.455378000000003,-97.796432,,,0.0,Accident on Hymeadow Dr between Hidden Meadow Dr and Mellow Meadow Dr.,12325.0,Hymeadow Dr,R,Austin,Travis,TX,78750-1816,US,US/Central,KATT,2017-02-07 09:51:00,73.9,,71.0,29.85,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2172510,Bing,,3,2018-01-10 14:06:40,2018-01-10 20:26:10,35.27299,-80.837,35.27205,-80.85049000000001,0.764,At I-77/US-21/Exit 38 - Accident. Left lane blocked.,,I-85 S,R,Charlotte,Mecklenburg,NC,28206,US,US/Eastern,KCLT,2018-01-10 13:52:00,60.1,,36.0,30.32,10.0,North,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-760478,MapQuest,201.0,2,2018-11-09 05:29:37,2018-11-09 06:14:14,30.950289,-85.40235899999999,,,0.0,Accident on US-231 at FL-2.,5294.0,Highway 231,L,Campbellton,Jackson,FL,32426-6833,US,US/Eastern,K1J0,2018-11-09 10:58:00,78.1,,79.0,29.9,10.0,SSW,3.5,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-461341,MapQuest,201.0,2,2017-06-16 15:23:20,2017-06-16 16:08:01,34.032509000000005,-118.391602,,,0.0,Accident on Livonia Ave near Kincardine Ave.,,Kincardine Ave,R,Los Angeles,Los Angeles,CA,90034,US,US/Pacific,KSMO,2017-06-16 15:51:00,72.0,,68.0,29.85,10.0,WSW,8.1,,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-963268,MapQuest,201.0,2,2018-08-15 17:56:05,2018-08-15 18:25:53,37.605721,-120.993546,,,0.0,Accident on Crows Landing Rd at Butte Ave.,1660.0,Crows Landing Rd,L,Modesto,Stanislaus,CA,95358-5607,US,US/Pacific,KMOD,2018-08-15 17:53:00,88.0,,34.0,29.83,8.0,NNW,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1695611,MapQuest,241.0,3,2017-08-16 16:33:09,2017-08-16 17:02:20,37.824653999999995,-92.167534,,,5.519999980930001,Left lane blocked due to accident on I-44 Eastbound between Exit 156 Ichord Ave and Exit 159 I-44 Bus Spur.,,Business Loop 44,R,Saint Robert,Pulaski,MO,65584,US,US/Central,KTBN,2017-08-16 16:27:00,71.6,,88.0,29.91,7.0,NW,10.4,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1970195,Bing,,4,2019-03-14 05:55:35,2019-03-14 06:25:05,33.79551,-84.39255,33.79589,-84.3934,0.055,Ramp closed to Exit 251 - Road closed due to accident.,,I-75 S,R,Atlanta,Fulton,GA,30309,US,US/Eastern,KFTY,2019-03-14 05:53:00,59.0,,87.0,30.1,10.0,SE,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-489679,MapQuest,201.0,2,2017-07-04 13:27:27,2017-07-04 14:03:00,30.315893,-97.66295600000001,,,0.0,Accident on Manor Rd at US-183 Ed Bluestein Blvd.,,Ed Bluestein Blvd,R,Austin,Travis,TX,78723,US,US/Central,KATT,2017-07-04 13:51:00,96.1,,41.0,29.95,10.0,North,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1261919,MapQuest,201.0,2,2018-03-15 17:03:28,2018-03-15 18:03:09,34.458542,-82.80257399999999,,,0.0,Accident on Richland Creek Rd at Broadwater Dr.,399.0,Richland Creek Rd,L,Anderson,Anderson,SC,29626-6551,US,US/Eastern,KAND,2018-03-15 16:56:00,66.9,,22.0,29.86,10.0,WSW,21.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1305170,MapQuest,201.0,2,2018-02-05 08:10:40,2018-02-05 09:10:26,34.662048,-82.872002,,,0.0,Accident on Shiloh Rd at Seneca Creek Rd.,,Shiloh Rd,R,Seneca,Oconee,SC,29678,US,US/Eastern,KCEU,2018-02-05 07:54:00,39.9,32.9,68.0,30.09,10.0,NW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1140073,MapQuest,201.0,2,2018-05-15 19:11:52,2018-05-15 20:11:34,30.430031,-91.056488,,,0.0,Accident on Sherwood Forest Blvd at I-12.,,S Sherwood Forest Blvd,R,Baton Rouge,East Baton Rouge,LA,70816,US,US/Central,KBTR,2018-05-15 18:53:00,84.9,,59.0,29.84,9.0,NW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1738953,Bing,,2,2016-06-13 15:01:00,2016-06-13 21:01:00,34.01873,-118.17352,34.01406,-118.17251999999999,0.32799999999999996,At I-5/Santa Ana Fwy - Accident.,,Long Beach Fwy S,R,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,2016-06-13 14:47:00,68.0,,63.0,30.06,10.0,Variable,3.5,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1929096,Bing,,2,2017-05-16 07:27:31,2017-05-16 13:27:31,43.051809999999996,-88.37674,43.051803,-88.37667900000001,0.003,At WI-83/Exit 287 - Accident.,,I-94 E,R,Delafield,Waukesha,WI,53018,US,US/Central,KUES,2017-05-16 07:45:00,57.2,,100.0,29.83,4.0,SSE,5.8,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1712120,MapQuest,244.0,3,2017-08-23 05:44:36,2017-08-23 06:14:02,33.980598,-117.340263,,,0.0,Shoulder blocked due to accident on I-215 Northbound at Exit 33 3rd St.,,I-215 N,R,Riverside,Riverside,CA,92507,US,US/Pacific,KRAL,2017-08-23 05:53:00,64.9,,93.0,29.93,8.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-2019336,Bing,,2,2018-12-05 15:52:51,2018-12-05 16:22:08,34.02888,-118.02586000000001,34.02888,-118.02586000000001,0.0,At Crossroads Pkwy - Accident.,2496.0, Workman Mill Rd,L,La Puente,Los Angeles,CA,91746,US,US/Pacific,KEMT,2018-12-05 15:45:00,57.2,,67.0,29.9,10.0,Variable,3.5,,Overcast,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
